O*NET-SOC Code,Title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,Job Zone,Active_Learning_Importance,Active_Learning_Level,Critical_Thinking_Importance,Critical_Thinking_Level,Learning_Strategies_Importance,Learning_Strategies_Level,Monitoring_Importance,Monitoring_Level,Active_Listening_Importance,Active_Listening_Level,Mathematics_Importance,Mathematics_Level,Programming_Importance,Programming_Level,Reading_Comprehension_Importance,Reading_Comprehension_Level,Science_Importance,Science_Level,Speaking_Importance,Speaking_Level,Writing_Importance,Writing_Level,degree_of_automation_context,importance_of_being_exact_or_accurate_context,importance_of_repeating_same_tasks_context,structured_versus_unstructured_work_context
11-9179.01,Fitness and Wellness Coordinators,0.0869565217391304,0.3804347826086956,0.6739130434782609,0.0869565217391304,0.2934782608695652,0.5,4,60,50,72,55,56,50,60,55,69,54,35,37.0,19,13.0,69,55,16,20.0,72,57,63,54,0.23,0.43,0.21,0.86
11-9179.02,Spa Managers,0.238095238095238,0.5238095238095237,0.8095238095238095,0.1428571428571428,0.3571428571428571,0.5714285714285714,3,63,55,72,57,60,52,75,59,69,50,44,41.0,13,11.0,60,54,3,0.0,75,57,53,52,0.27,0.75,0.59,0.75
11-9199.01,Regulatory Affairs Managers,0.1153846153846153,0.5576923076923077,1.0,0.1923076923076923,0.5384615384615385,0.8846153846153847,4,60,55,72,59,50,50,72,59,72,57,38,41.0,19,11.0,75,61,38,29.0,75,57,75,57,0.17,0.89,0.55,0.73
11-9199.02,Compliance Managers,0.08,0.52,0.96,0.34,0.54,0.74,4,69,55,75,61,56,50,69,66,72,59,28,32.0,19,13.0,75,59,10,7.0,72,59,72,59,0.18,0.91,0.71,0.83
11-9199.08,Loss Prevention Managers,0.0566037735849056,0.4339622641509433,0.8113207547169811,0.1132075471698113,0.3679245283018867,0.6226415094339622,4,69,54,72,57,56,46,72,57,75,57,44,39.0,16,11.0,75,57,0,0.0,75,57,69,55,0.35,0.73,0.5,0.79
11-9199.09,Wind Energy Operations Managers,0.0625,0.4375,0.8125,0.1875,0.40625,0.625,3,50,52,72,57,50,45,72,59,75,57,50,46.0,22,18.0,72,57,25,16.0,72,57,69,57,0.36,0.72,0.52,0.9
11-9199.10,Wind Energy Development Managers,0.0666666666666666,0.5333333333333333,1.0,0.2666666666666666,0.5333333333333333,0.8,4,60,57,75,61,44,41,63,55,69,54,50,50.0,19,18.0,72,61,19,16.0,72,54,72,55,0.14,0.65,0.32,0.92
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.0465116279069767,0.4651162790697674,0.8837209302325582,0.2093023255813953,0.4069767441860465,0.6046511627906976,4,56,55,75,61,50,43,75,59,72,57,66,55.0,16,11.0,75,64,50,46.0,75,59,72,59,0.16,0.68,0.38,0.75
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.1739130434782608,0.5434782608695652,0.9130434782608696,0.3043478260869565,0.3695652173913043,0.4347826086956521,4,63,50,69,54,41,39,47,43,75,57,28,29.0,13,7.0,75,57,16,9.0,75,57,66,55,0.17,0.86,0.47,0.86
13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.0555555555555555,0.5277777777777778,1.0,0.0555555555555555,0.25,0.4444444444444444,4,53,45,72,54,38,43,53,45,69,48,50,43.0,13,11.0,60,50,16,20.0,72,55,53,45,0.49,0.85,0.8,0.92
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.0333333333333333,0.4666666666666667,0.9,0.1,0.4,0.7,3,60,55,69,57,47,46,53,57,69,55,53,48.0,19,13.0,56,55,19,13.0,69,55,50,48,0.2,0.76,0.78,0.88
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.0526315789473684,0.4736842105263157,0.894736842105263,0.1578947368421052,0.3684210526315789,0.5789473684210527,4,69,55,69,55,50,45,69,55,72,55,47,41.0,6,0.0,75,57,3,0.0,72,57,69,54,0.41,0.86,0.64,0.85
13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.08,0.52,0.96,0.18,0.49,0.8,4,58,47,72,57,36,37,53,45,70,56,49,44.0,11,9.0,72,58,11,0.0,70,55,67,54,0.62,0.93,0.83,0.76
13-1032.00,"Insurance Appraisers, Auto Damage",0.0,0.5,1.0,0.1428571428571428,0.5,0.8571428571428571,3,47,43,60,54,28,21,38,41,63,55,41,39.0,6,0.0,63,52,3,0.0,69,54,69,46,0.56,0.85,0.7,0.86
13-1041.00,Compliance Officers,0.4545454545454546,0.6818181818181819,0.9090909090909092,0.4545454545454546,0.6136363636363636,0.7727272727272727,3,56,43,66,55,41,39,53,46,75,57,35,32.0,19,16.0,72,57,0,0.0,72,57,63,54,0.38,0.87,0.74,0.58
13-1041.01,Environmental Compliance Inspectors,0.1707317073170731,0.4512195121951219,0.7317073170731707,0.2926829268292683,0.4878048780487805,0.6829268292682927,4,69,59,75,61,50,46,69,63,72,57,50,45.0,16,16.0,75,68,50,46.0,72,61,72,59,0.15,0.75,0.58,0.75
13-1041.03,Equal Opportunity Representatives and Officers,0.4,0.6,0.8,0.3666666666666667,0.5,0.6333333333333333,4,69,57,75,64,50,48,60,55,81,66,38,39.0,22,21.0,78,68,16,11.0,75,61,72,63,0.34,0.83,0.5,0.89
13-1041.04,Government Property Inspectors and Investigators,0.1176470588235294,0.4411764705882353,0.7647058823529411,0.1764705882352941,0.3529411764705882,0.5294117647058824,3,63,48,75,59,50,45,60,59,78,59,47,45.0,19,18.0,75,61,22,18.0,75,59,75,57,0.3,0.86,0.58,0.75
13-1041.06,Coroners,0.1351351351351351,0.3378378378378378,0.5405405405405406,0.3243243243243243,0.4594594594594595,0.5945945945945946,3,60,54,75,59,50,43,56,50,72,59,41,36.0,13,7.0,75,61,53,54.0,75,59,72,59,0.15,0.89,0.6,0.74
13-1041.07,Regulatory Affairs Specialists,0.0892857142857142,0.5357142857142857,0.9821428571428572,0.4285714285714285,0.6696428571428571,0.9107142857142856,4,56,55,72,61,50,43,56,54,75,57,38,41.0,22,20.0,72,68,22,16.0,75,59,75,59,0.18,0.79,0.58,0.73
13-1041.08,Customs Brokers,0.2727272727272727,0.6363636363636364,1.0,0.3181818181818182,0.6022727272727273,0.8863636363636364,3,56,52,69,55,53,43,56,52,75,57,50,43.0,22,20.0,72,57,0,0.0,69,57,69,55,0.61,0.96,0.83,0.63
13-1051.00,Cost Estimators,0.0,0.5,1.0,0.1538461538461538,0.4807692307692308,0.8076923076923077,4,56,55,72,61,47,43,50,52,69,59,75,61.0,22,23.0,72,59,13,9.0,69,54,63,54,0.32,0.88,0.63,0.72
13-1071.00,Human Resources Specialists,0.3333333333333333,0.6444444444444445,0.9555555555555556,0.3777777777777777,0.5888888888888889,0.8,4,56,48,72,57,50,46,50,54,75,57,25,29.0,16,9.0,75,57,3,0.0,78,57,72,57,0.49,0.84,0.72,0.87
13-1074.00,Farm Labor Contractors,0.0,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,2,35,34,50,46,31,30,44,37,60,45,28,30.0,10,7.0,44,41,6,0.0,63,48,44,39,0.3,0.82,0.87,0.99
13-1075.00,Labor Relations Specialists,0.1698113207547169,0.5471698113207547,0.9245283018867924,0.1132075471698113,0.4433962264150943,0.7735849056603773,4,63,55,72,57,56,48,63,54,88,61,41,39.0,10,7.0,81,59,0,0.0,85,64,78,61,0.23,0.74,0.26,0.83
13-1081.00,Logisticians,0.0909090909090909,0.5,0.9090909090909092,0.1818181818181818,0.4545454545454546,0.7272727272727273,4,63,50,75,59,50,50,72,66,72,59,50,48.0,22,25.0,72,59,19,13.0,72,57,60,54,0.46,0.74,0.57,0.72
13-1081.01,Logistics Engineers,0.0350877192982456,0.5175438596491228,1.0,0.4736842105263157,0.6842105263157894,0.894736842105263,4,69,55,72,61,50,50,56,55,75,59,72,57.0,41,32.0,78,63,38,41.0,69,57,75,59,0.36,0.79,0.58,0.76
13-1081.02,Logistics Analysts,0.1320754716981132,0.5660377358490566,1.0,0.3962264150943396,0.6509433962264151,0.9056603773584906,4,53,54,75,59,44,43,69,57,72,57,50,54.0,25,25.0,75,57,19,11.0,69,48,60,57,0.49,0.79,0.75,0.77
13-1111.00,Management Analysts,0.0952380952380952,0.4047619047619047,0.7142857142857142,0.1904761904761904,0.5,0.8095238095238095,5,60,54,78,59,50,50,72,57,78,59,50,46.0,19,13.0,78,59,25,27.0,75,57,75,57,0.31,0.76,0.27,0.81
13-1121.00,"Meeting, Convention, and Event Planners",0.1081081081081081,0.4864864864864865,0.8648648648648649,0.081081081081081,0.3648648648648649,0.6486486486486487,4,60,45,72,55,35,41,63,54,75,57,38,36.0,10,5.0,75,57,6,0.0,75,57,63,52,0.17,0.74,0.56,0.93
13-1131.00,Fundraisers,0.1538461538461538,0.5192307692307693,0.8846153846153847,0.25,0.4903846153846154,0.7307692307692308,4,56,50,72,57,47,43,53,50,75,59,50,43.0,13,7.0,75,57,10,5.0,78,63,75,59,0.23,0.66,0.45,0.85
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.0789473684210526,0.4736842105263157,0.8684210526315789,0.3157894736842105,0.4736842105263157,0.631578947368421,4,60,52,72,57,50,50,56,52,69,57,47,48.0,19,21.0,72,59,35,32.0,69,57,60,55,0.29,0.88,0.75,0.89
13-1151.00,Training and Development Specialists,0.1052631578947368,0.5526315789473684,1.0,0.4210526315789473,0.5921052631578947,0.763157894736842,4,66,54,72,57,81,70,75,61,78,59,41,37.0,10,5.0,75,61,22,29.0,78,61,72,61,0.27,0.69,0.34,0.75
13-1161.00,Market Research Analysts and Marketing Specialists,0.0,0.5,1.0,0.2307692307692307,0.576923076923077,0.9230769230769232,4,63,57,75,57,50,43,56,52,72,57,56,48.0,28,29.0,75,66,31,32.0,72,57,75,59,0.34,0.86,0.49,0.82
13-1161.01,Search Marketing Strategists,0.0983606557377049,0.5491803278688525,1.0,0.0163934426229508,0.5081967213114754,1.0,4,69,55,69,55,47,43,60,54,69,57,44,41.0,44,30.0,72,59,6,0.0,66,54,63,54,0.29,0.69,0.46,0.81
13-1199.04,Business Continuity Planners,0.1463414634146341,0.5731707317073171,1.0,0.1951219512195122,0.5,0.8048780487804879,4,69,54,72,64,53,52,63,55,69,55,44,41.0,25,18.0,72,59,3,0.0,75,57,72,57,0.35,0.65,0.38,0.74
13-1199.05,Sustainability Specialists,0.2142857142857142,0.6071428571428571,1.0,0.4285714285714285,0.6785714285714285,0.9285714285714284,4,56,48,72,57,53,45,63,50,72,57,47,41.0,13,9.0,75,59,31,25.0,75,59,75,59,0.13,0.64,0.32,0.79
13-1199.06,Online Merchants,0.3620689655172414,0.6293103448275862,0.896551724137931,0.3103448275862069,0.5603448275862069,0.8103448275862069,4,47,45,63,55,35,36,53,52,63,52,50,45.0,35,25.0,66,54,6,0.0,63,48,60,46,0.42,0.79,0.61,0.84
13-2011.00,Accountants and Auditors,0.12,0.56,1.0,0.2,0.52,0.84,4,58,50,72,55,49,43,58,51,74,57,67,57.0,16,14.0,74,58,22,23.0,70,55,69,52,0.51,0.93,0.71,0.79
13-2023.00,Appraisers and Assessors of Real Estate,0.0178571428571428,0.4910714285714285,0.9642857142857142,0.1964285714285714,0.4642857142857142,0.7321428571428571,4,59,47,72,55,27,29,45,40,74,54,55,53.0,13,8.0,74,57,17,13.0,69,55,61,54,0.33,0.87,0.68,0.74
13-2031.00,Budget Analysts,0.08,0.52,0.96,0.32,0.64,0.96,4,56,48,69,55,47,39,53,48,75,57,69,50.0,22,16.0,72,57,6,0.0,69,48,56,54,0.48,0.91,0.77,0.75
13-2041.00,Credit Analysts,0.1111111111111111,0.5555555555555556,1.0,0.2222222222222222,0.5555555555555556,0.8888888888888888,4,66,52,72,57,35,36,50,43,63,57,60,59.0,16,14.0,66,57,10,5.0,66,57,53,55,0.35,0.88,0.78,0.8
13-2052.00,Personal Financial Advisors,0.0526315789473684,0.5,0.9473684210526316,0.3947368421052631,0.6710526315789473,0.9473684210526316,4,60,46,72,59,47,43,53,52,75,57,60,55.0,19,14.0,75,57,22,18.0,75,57,75,57,0.35,0.82,0.52,0.82
13-2053.00,Insurance Underwriters,0.1428571428571428,0.5714285714285714,1.0,0.1428571428571428,0.5,0.8571428571428571,4,53,48,69,55,44,43,50,43,69,57,47,41.0,13,11.0,69,54,10,5.0,66,52,69,54,0.47,0.83,0.63,0.77
13-2061.00,Financial Examiners,0.0606060606060606,0.5,0.9393939393939394,0.303030303030303,0.5757575757575758,0.8484848484848485,4,66,59,78,64,60,55,72,61,75,59,66,55.0,16,14.0,78,61,6,0.0,75,59,75,57,0.33,0.75,0.43,0.65
13-2071.00,Credit Counselors,0.2727272727272727,0.625,0.9772727272727272,0.4545454545454546,0.6931818181818182,0.931818181818182,4,66,50,69,55,53,45,50,43,72,57,53,43.0,13,11.0,72,55,0,0.0,75,57,69,54,0.5,0.83,0.77,0.76
13-2072.00,Loan Officers,0.2045454545454545,0.5909090909090909,0.9772727272727272,0.3409090909090909,0.6477272727272727,0.9545454545454546,4,53,45,69,57,44,37,47,43,75,57,56,45.0,16,13.0,72,57,0,0.0,75,57,60,55,0.55,0.88,0.61,0.85
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0.1935483870967742,0.5806451612903225,0.967741935483871,0.4516129032258064,0.6774193548387096,0.9032258064516128,3,56,52,72,52,47,43,50,41,75,57,53,46.0,16,13.0,75,59,0,0.0,72,54,60,46,0.46,0.9,0.88,0.71
13-2082.00,Tax Preparers,0.25,0.625,1.0,0.25,0.625,1.0,3,53,45,63,52,44,43,53,43,72,57,53,46.0,16,9.0,75,57,0,0.0,56,50,50,43,0.44,0.93,0.82,0.79
13-2099.01,Financial Quantitative Analysts,0.3783783783783784,0.6891891891891893,1.0,0.3243243243243243,0.6621621621621622,1.0,5,63,57,78,66,50,46,50,45,69,57,81,70.0,44,,75,64,22,21.0,69,54,60,55,0.27,0.93,0.53,0.83
13-2099.04,"Fraud Examiners, Investigators and Analysts",0.0909090909090909,0.4772727272727273,0.8636363636363636,0.1818181818181818,0.5227272727272727,0.8636363636363636,4,72,50,75,59,50,43,60,45,75,59,47,43.0,19,14.0,75,61,6,0.0,75,57,78,59,0.37,0.91,0.7,0.79
15-1211.00,Computer Systems Analysts,0.5882352941176471,0.75,0.9117647058823528,0.1176470588235294,0.4705882352941176,0.8235294117647058,4,63,59,72,61,50,45,56,57,72,57,50,50.0,53,52.0,72,63,31,30.0,69,57,63,57,0.46,0.87,0.79,0.78
15-1211.01,Health Informatics Specialists,0.0,0.4848484848484848,0.9696969696969696,0.3636363636363636,0.6363636363636364,0.9090909090909092,4,69,68,72,61,72,55,69,57,75,61,47,41.0,44,45.0,81,70,28,27.0,75,59,75,57,0.38,0.82,0.81,0.81
15-1212.00,Information Security Analysts,0.3478260869565217,0.6521739130434783,0.9565217391304348,0.0869565217391304,0.5434782608695652,1.0,4,56,55,72,59,47,45,60,55,69,55,31,34.0,41,32.0,75,59,22,23.0,66,54,63,54,0.26,0.77,0.58,0.77
15-1221.00,Computer and Information Research Scientists,0.3846153846153846,0.6346153846153847,0.8846153846153847,0.2307692307692307,0.5,0.7692307692307693,5,63,70,75,61,50,50,53,57,69,59,60,63.0,66,64.0,69,64,53,48.0,63,59,60,59,0.33,0.74,0.31,0.75
15-1231.00,Computer Network Support Specialists,0.4615384615384615,0.6346153846153847,0.8076923076923077,0.2307692307692307,0.5384615384615385,0.8461538461538463,4,56,48,69,54,41,46,56,52,63,52,28,37.0,31,,60,55,22,21.0,56,50,50,50,0.32,0.86,0.68,0.83
15-1232.00,Computer User Support Specialists,0.4444444444444444,0.611111111111111,0.7777777777777777,0.4814814814814814,0.6666666666666666,0.8518518518518519,3,53,46,69,57,47,45,50,45,75,57,31,30.0,28,30.0,75,57,19,21.0,75,57,66,45,0.41,0.87,0.59,0.84
